freq,S11,S21,S22
950000000,1.3949492917,21.513601101,1.7895847817
960000000,1.3882479189,21.446775763,1.7382105177
970000000,1.3893966879,21.284652977,1.7029502016
980000000,1.3868164842,21.012266891,1.6591544149
990000000,1.3895842377,20.910734025,1.6080142301
1000000000,1.3900977143,20.758199113,1.5339813417
1010000000,1.3906474566,20.776513888,1.4122591197
1020000000,1.3914162956,20.915967873,1.2584605314
1030000000,1.3886371107,21.194347942,1.1607925037
1040000000,1.3925689042,21.36757894,1.2233988985
1050000000,1.3956851485,21.325394955,1.3072331704
1060000000,1.3944065049,21.192281383,1.3493464986
1070000000,1.3905352725,21.066452012,1.3492799755
1080000000,1.3923713212,20.870873544,1.3405903392
1090000000,1.3895287412,20.69909445,1.3063104053
1100000000,1.3942913235,20.748740716,1.2215942146
1110000000,1.3857369133,20.922651158,1.1055515482
1120000000,1.3886581605,21.322391581,1.0679648779
1130000000,1.3957445883,21.479538158,1.2652793797
1140000000,1.3895460084,21.535350665,1.4493038887
1150000000,1.39334245,21.347815848,1.5401214375
1160000000,1.3893816256,20.790541552,1.5339094131
1170000000,1.3955171993,20.156375529,1.5115218334
1180000000,1.3945106374,19.411454092,1.4969242908
1190000000,1.3890149243,18.806065593,1.4881645903
1200000000,1.390124675,18.656332282,1.4682598465
1210000000,1.3884786766,18.743079287,1.4114808184
1220000000,1.3862466466,18.854047205,1.352720554
1230000000,1.3872972533,19.283784238,1.3398857533
1240000000,1.3881935339,19.855003838,1.4091183092
1250000000,1.3914265776,20.581543628,1.4995966048
1260000000,1.394825181,21.199835139,1.5748465726
1270000000,1.3885672031,21.622449241,1.5296574861
1280000000,1.3926889514,21.508043409,1.4008283152
1290000000,1.3838190436,21.06900696,1.2682077276
1300000000,1.3961231775,20.517822088,1.1842226147
1310000000,1.3919059882,19.812914431,1.1112676357
1320000000,1.3928423549,19.232066852,1.045407066
1330000000,1.3893802968,18.806686417,1.0927881905
1340000000,1.3950873904,18.608969829,1.2105250239
1350000000,1.3909639625,18.666509462,1.340172017
1360000000,1.3890256663,18.826493085,1.4347002035
1370000000,1.3894565084,20.075791842,1.3336906979
1380000000,1.3922294323,20.511366168,1.3337396198
1390000000,1.3885308119,20.923613722,1.325100029
1400000000,1.3944522605,21.161972252,1.3281813301
1410000000,1.3891765481,21.351869964,1.345858098
1420000000,1.3870551103,21.337689586,1.3575387906
1430000000,1.3996819561,21.448286742,1.346603442
1440000000,1.3967762757,21.465255179,1.3302877653
1450000000,1.3922079475,21.607825725,1.284467496
1460000000,1.3945585743,21.712762693,1.2633508187
1470000000,1.3938194041,21.840868382,1.248612802
1480000000,1.3946302894,21.885557929,1.2509907409
1490000000,1.3906863203,21.781619753,1.2569718249
1500000000,1.3893665855,21.788131756,1.2861872232
1510000000,1.392864483,21.656663904,1.3274543712
1520000000,1.3913494508,21.532194002,1.39543815
1530000000,1.3951643226,21.456646193,1.4401710883
1540000000,1.3898209831,21.282355637,1.4771664429
1550000000,1.3962906584,21.173593135,1.4956616394
1560000000,1.3943159392,21.029163676,1.4783872347
1570000000,1.4054555536,20.986986776,1.4626255157
1580000000,1.3941904272,20.774031942,1.4255391164
1590000000,1.3925274265,20.705041412,1.3970841309
1600000000,1.3917830627,20.586589702,1.40604744
1610000000,1.3989205762,20.634208371,1.4303673957
1620000000,1.4002848866,20.499417074,1.4757579406
1630000000,1.3848807413,20.262753827,1.530018522
1640000000,1.3890195252,20.009098618,1.3788797714
1650000000,1.3948170192,19.784454592,1.5275075126
1660000000,1.3935354026,19.617948577,1.4608566449
1670000000,1.4003867595,19.603506178,1.3763131545
1680000000,1.3913061284,19.40587462,1.2924370284
1690000000,1.3966537295,19.192954392,1.218062337
1700000000,1.3888505185,19.064534682,1.1633032109
1710000000,1.3938219267,18.904521066,1.1376231683
1720000000,1.3962199532,18.793161743,1.1085006672
1730000000,1.3903089238,18.638293247,1.0991961451
1740000000,1.3936358464,18.427753955,1.148530672
1750000000,1.3967371621,17.879445244,2.4412631132
1760000000,1.3947029116,17.377094292,2.0833001351
1770000000,1.3897362327,16.54712049,1.7029913873
1780000000,1.3878655045,15.616815335,1.4175707331
1790000000,1.3955674539,14.771390452,1.1944177126
1800000000,1.3940536906,14.077038569,1.1021504502
1810000000,1.3920715276,13.534537675,1.1255275949
1820000000,1.3936974516,13.160926945,1.2117585254
1830000000,1.391100575,12.825054206,1.3586477137
1840000000,1.397739596,12.776271405,1.6162278592
1850000000,1.3985083898,13.041346023,1.8663896027
1860000000,1.3914463183,13.248567036,2.2042315953
1870000000,1.3981486331,13.531546699,2.5011631773
1880000000,1.3980535739,13.756541186,2.716030822
1890000000,1.3966730702,13.960655903,2.7262562839
1900000000,1.4025090056,14.274265149,2.5612401039
1910000000,1.3913973763,14.487556597,2.3550035959
1920000000,1.3913016152,14.499065118,2.1006662466
1930000000,1.3966186962,14.403195661,1.8661173985
1940000000,1.393780786,14.230018687,1.6113443763
1950000000,1.3950917501,14.30627198,1.371962895
1960000000,1.3917547085,14.320944845,1.1665097273
1970000000,1.3919553637,14.587063776,1.1507542868
1980000000,1.3924402009,14.84677774,1.3260674235
1990000000,1.3901241505,15.200675269,1.5147376005
2000000000,1.3920860319,15.70947464,1.6977943828
2010000000,1.3978347125,16.322383207,1.8500817566
2020000000,1.3940544452,16.418495449,1.9900833971
2030000000,1.3924135951,16.308274964,2.0726198372
2040000000,1.3912668522,16.206543148,2.0670484618
2050000000,1.3948719939,16.097101612,1.9515230328
2060000000,1.3951937609,15.909969199,1.7573338139
2070000000,1.3913421681,15.532649934,1.5413314777
2080000000,1.3908806622,15.077086588,1.3378791985
2090000000,1.3949298,14.865222366,1.1758633339
2100000000,1.3931804393,14.773276977,1.0616634394
2110000000,1.390358968,14.863407055,1.0376816967
2120000000,1.3989798337,15.114664518,1.1256759258
2130000000,1.3944357201,15.381178776,1.2048791898
2140000000,1.3957039994,15.83462217,1.3048439385
2150000000,1.3965003356,16.402163996,1.4208489439
